name,nationality,gender,birthdate
Anna Atkins,British,Female,1797
Conrad Atkinson,British,Male,1940
Lawrence Atkinson,British,Male,1873
Terry Atkinson,British,Male,1939
Jean-Michel Atlan,French,Male,1913
Dotty Attie,American,Female,1938
Carl Auböck,Austrian,Male,1924
Charles Aubry,French,Male,1811
Frank Auerbach,British,Male,1931
Gae Aulenti,Italian,Female,1930
George Ault,American,Male,1891
Darrel Austin,American,Male,1907
Mario Avati,Italian,Male,1921
Edward Avedisian,American,Male,1936
Richard Avedon,American,Male,1923
Frances Avery,American,Female,1910
Milton Avery,American,Male,1885
Kiyoshi Awazu,Japanese,Male,1929
Ay-O,Japanese,Male,1931
Alice Aycock,American,Female,1946
Pierre Ayot,Canadian,Male,1943
Michael Ayrton,British,Male,1921
Luis Cruz Azaceta,American,Male,1942
Umetaro Azechi,Japanese,Male,1902
Kengiro Azuma,Japanese,Male,1926
Johannes Baader,German,Male,1875
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892
Kurt W. Baasch,American,Male,1891
Alice Baber,American,Female,1928
Edmondo Bacci,Italian,Male,1913
Elvira Bach,German,Female,1951
Olof Backman,Swedish,Male,1899
Olof Backstrom,Finnish,Male,1922
Francis Bacon,British,Male,1909
Peggy Bacon,American,Female,1895
Karl Baden,American,Male,1952
Mowry Thatcher Baden,American,Male,1936
Aquiles Badi,Argentine,Male,1894
Libero Badii,Argentine,Male,1916
Frank Badur,German,Male,1944
Donald Baechler,American,Male,1956
Jo Baer,American,Female,1929
Martin Baer,American,Male,1894
Olle Baertling,Swedish,Male,1911
Myrna Báez,American,Female,1931
John Bageris,American,Male,1924
Heinz Bahr,German,Male,1934
Malcolm Bailey,American,Male,1947
Oscar Bailey,American,Male,1925
William Bailey,American,Male,1930
Larry Bair,American,Male,1952
Eugenie Baizerman,American,Female,1899
Enrico Baj,Italian,Male,1924
Mikal Baker,American,Male,1946
Vagrich Bakhchanyan,Russian,Male,1938
Léon Bakst,Russian,Male,1866
Gerard Baksteen,Dutch,Male,1887
Amèrico Balán,Argentine,Male,1915
Jirí Balcar,Czech,Male,1929
John Baldessari,American,Male,1931
George Baldessin,Australian,Male,1939
C. Leroy Baldridge,American,Male,1889
Édouard-Denis Baldus,French,Male,1813
Benjamin Baldwin,American,Male,1913
Joost Baljeu,Dutch,Male,1925
Giacomo Balla,Italian,Male,1871
R. Maxil Ballinger,American,Male,1914
Theo H. Ballmer,Swiss,Male,1902
Alexander Bally,American,Male,1938
John F. Balossi,American,Male,1931
Balthus (Baltusz Klossowski de Rola),French,Male,1908
Lewis Baltz,American,Male,1945
Thomas Bamberger,American,Male,1948
McDonald (Mackey Jeffries) Bane,American,Female,1928
Colette Bangert,American,Female,1934
Walter Darby Bannard,American,Male,1934
John Banting,British,Male,1902
Rudolf Baranik,American,Male,1920
Vladimir Baranoff-Rossiné,Ukrainian,Male,1888
Anthony Barboza,American,Male,1944
Miquel Barcelo,Spanish,Male,1957
Peter Bardazzi,American,Male,1943
J. Baric,French,Male,1825
Richard Baringer,American,Male,1921
George Barker,Australian,Male,1942
Walter William Barker,American,Male,1921
Ernst Barlach,German,Male,1870
George Barnard,American,Male,1819
Matthew Rackham Barnes,American,Male,1880
Robert Barnes,American,Male,1934
Will Barnet,American,Male,1911
Tina Barney,American,Female,1945
Hannelore Baron,American,Female,1926
Martin Barooshian,American,Male,1929
Maurice Barraud,Swiss,Male,1889
Susan Barron,American,Female,1947
Thomas F. Barrow,American,Male,1938
D. F. Barry,American,Male,1854
Robert Barry,American,Male,1936
Robert Bart,American,Male,1923
Frances Barth,American,Female,1946
Ruodi Barth,Swiss,Male,1921
"Ralph Bartholomew, Jr.",American,Male,1907
Jennifer Bartlett,American,Female,1941
Robert Bartlett,British,Male,1922
Carlo Bartoli,Italian,Male,1931
Luigi Bartolini,Italian,Male,1892
Joseph Bartscherer,American,Male,1954
Gianfranco Baruchello,Italian,Male,1924
Héctor Basaldua,Argentine,Male,1895
Bernard Baschet,French,Male,1917
François Baschet,French,Male,1920
Georg Baselitz,German,Male,1938
Mati Basis,Israeli,Male,1933
Leonard Baskin,American,Male,1922
Jean-Michel Basquiat,American,Male,1960
Joel Bass,American,Male,1943
Saul Bass,American,Male,1920
Miriam Bat-Yosef,German,Female,1931
Josef Bato,Hungarian,Male,1888
John Battan,American,Male,1943
Wall Batterton,British,Male,1932
Dora M. Batty,British,Female,1900
Eugen Batz,German,Male,1905
André Bauchant,French,Male,1873
Karl Bauer,German,Male,1868
Rudolph Bauer,American,Male,1889
Mary Bauermeister,American,Female,1934
Marilyn Baum,American,Female,1939
Hans Theo Baumann,German,Male,1924
Otto Baumberger,Swiss,Male,1889
Willi Baumeister,German,Male,1889
Lothar Baumgarten,German,Male,1944
Edward Bawden,British,Male,1903
Iain Baxter&,Canadian,Male,1936
Hippolyte Bayard,French,Male,1801
Herbert Bayer,American,Male,1900
Ed Baynard,American,Male,1940
Thomas Bayrle,German,Male,1937
Douglas Baz,American,Male,1943
Jean Bazaine,French,Male,1904
Castera Bazile,Haitian,Male,1923
William Baziotes,American,Male,1912
Gifford Beal,American,Male,1879
Jack Beal,American,Male,1931
Lester Beall,American,Male,1903
Mark Beard,American,Male,1956
Romare Bearden,American,Male,1911
Aubrey Beardsley,British,Male,1872
Bruce Beasley,American,Male,1939
Felice Beato,Italian,Male,1825
Cecil Beaton,British,Male,1904
Robert Beauchamp,American,Male,1923
André Beaudin,French,Male,1895
Alessandro Becchi,Italian,Male,1946
Bernd Becher,German,Male,1931
Thelma Becherer,American,Female,1916
Robert Bechtle,American,Male,1932
Gustav K. Beck,Austrian,Male,1902
Fred Becker,American,Male,1913
Bill Beckley,American,Male,1946
Max Beckmann,German,Male,1884
Francis Bedford,British,Male,1816
René Beeh,German,Male,1886
Jan Bontjes van Beek,German,Male,1899
Chris Hendrik Beekman,Dutch,Male,1887
Max Beerbohm,British,Male,1872
Hedda Beese,German,Female,1944
Peter Behrens,German,Male,1868
Edith Behring,Brazilian,Female,1916
John Behringer,American,Male,1939
J. J. Beljon,Dutch,Male,1922
Alistair Macready Bell,Canadian,Male,1913
Charles M. Bell,American,Male,1848
Larry Bell,American,Male,1939
Vanessa Bell,British,Female,1879
William H. Bell,American,Male,1830
Ross Bellah,American,Male,1907
Joseph Bellanca,American,Male,1930
John Bellany,British,Male,1942
Rudolf Belling,German,Male,1886
Mario Bellini,Italian,Male,1935
Hans Bellmer,German,Male,1902
Ernest J. Bellocq,American,Male,1873
George Bellows,American,Male,1882
Rossella Bellusci,Italian,Female,1947
Giandomenico Belotti,Italian,Male,1922
Christian Belpaire,Congolese,Male,1949
Antoli Pawlowitsch Belski,Russian,Male,1896
Ahron Ben-Shmuel,American,Male,1903
Ben-Zion,American,Male,1897
Adolf Benca,American,Male,1959
W. T. Benda,American,Male,1873
Niels Sylvester Bendtsen,Danish,Male,1943
Nair Benedicto,Brazilian,Female,1940
Luis Fernando Benedit,Argentine,Male,1937
G. A. Beneker,American,Male,1882
Lynda Benglis,American,Female,1941
Billy Al Bengston,American,Male,1934
Jim Bengston,American,Male,1942
Gordon Bennett,American,Male,1933
Henry Hamilton Bennett,American,Male,1843
Ward Bennett,American,Male,1917
Alexander Benois,Russian,Male,1870
David Bentley,American,Male,1938
Nicholas Bentley,British,Male,1907
Thomas Hart Benton,American,Male,1889
Roloff Beny,Canadian,Male,1924
Etienne (Istvan) Béothy,Hungarian,Male,1897
Christian Bérard,French,Male,1902
Roberto Berdecio,Bolivian,Male,1913
Vera Berdich,American,Female,1915
Ed Bereal,American,Male,1937
Stephen Lynn Berens,American,Male,1952
Charles Berger,American,Male,1943
Jason Berger,American,Male,1924
Hagbard Elis Bergh,Swedish,Male,1881
Håkan Bergkvist,Swedish,Male,1946
Ella Bergmann-Michel,German,Female,1896
Henryk Berlewi,Polish,Male,1894
Eugene Berman,American,Male,1899
Mieczyslaw Berman,Polish,Male,1903
Sarah Berman,American,Female,1895
Wallace Berman,American,Male,1926
Zeke Berman,American,Male,1951
Cundo Bermúdez,Cuban,Male,1914
José Ygnacio Bermudez,Cuban,Male,1922
Camille Bernabé,French,Male,1808
