name,nationality,gender,birthdate
Yasuo Kuniyoshi,American,Male,1889
Lawrence Kupferman,American,Male,1909
Moshe Kupfermann,Israeli,Male,1926
František Kupka,Czech,Male,1871
Juan Kurchan,Argentine,Male,1913
William Kurelek,Canadian,Male,1927
Mervyn Kurlansky,British,Male,1936
Seitaro Kuroda,Japanese,Male,1939
Masayuki Kurokawa,Japanese,Male,1937
Helmuth Kurtz,Swiss,Male,1903
Maximilian Kurzweil,Austrian,Male,1867
Kenji Kusaka,Japanese,Male,1936
Yayoi Kusama,Japanese,Female,1929
Rainer Küschall,Swiss,Male,1947
Robert Kushner,American,Male,1949
Paul Kwilecki,American,Male,1928
Jean L'Anselme,French,Male,1919
Alain de La Bourdonnaye,French,Male,1930
Roger de La Fresnaye,French,Male,1885
Chet La More,American,Male,1908
Terence La Noue,American,Male,1941
Frank LaPena,American,Male,1937
Jean-Emile Laboureur,French,Male,1887
Syl Labrot,American,Male,1929
Joseph Lacasse,French,Male,1894
Gaston Lachaise,American,Male,1882
Georges Lacombe,French,Male,1868
Jacques Lacomblez,Belgian,Male,1934
Charles Lacoste,French,Male,1870
Richard Lacroix,Canadian,Male,1939
Justen Ladda,German,Male,1953
Adriano Lagostina,Italian,Male,1915
Massimo Lagostina,Italian,Male,1908
Richard Lahey,American,Male,1893
Wolfgang Laib,German,Male,1950
Gerald Laing,British,Male,1936
Maxime Lalanne,French,Male,1827
Jennett Lam,American,Female,1911
Wifredo Lam,Cuban,Male,1902
Thomas Lamb,American,Male,1898
Jacqueline Lamba,French,Female,1910
Roberto De Lamónica,Brazilian,Male,1933
Mark Lancaster,British,Male,1938
Colin Lanceley,Australian,Male,1938
Paul Landacre,American,Male,1893
Jacob Landau,American,Male,1917
Nils Landberg,Swedish,Male,1907
Armin Landeck,American,Male,1905
Ronnie Landfield,American,Male,1947
Edoardo Landi,Italian,Male,1937
Bengt Landin,Swedish,Male,1933
Richard W. Landis,American,Male,1931
Darrell Landrum,American,Male,1924
Herman Landshoff,American,Male,1905
Stanley Landsman,American,Male,1930
Octave Landuyt,Belgian,Male,1922
Lois Lane,American,Female,1948
David Lang,American,Male,1929
Helmut Lang,German,Male,1924
Dorothea Lange,American,Female,1895
Otto Lange,German,Male,1879
Wilfred O. Langille,American,Male,1895
Juan Langlois,Argentine,Male,1926
André Lanskoy,French,Male,1902
Louis Lanzano,American,Male,1947
Ernesto Bruno La Padula,Italian,Male,1902
Harry S. Lapow,American,Male,1909
Pierre Laprade,French,Male,1875
Raoul François Larche,French,Male,1860
Mikhail Larionov,Russian,Male,1881
Eugene Larkin,American,Male,1921
Johannes Larsen,Danish,Male,1912
Lisa Larsen,American,Female,1925
William G. Larson,American,Male,1942
Jacques-Henri Lartigue,French,Male,1894
Mauricio Lasansky,American,Male,1914
Pat Lasch,American,Female,1944
Oskar Laske,Austrian,Male,1874
Jonathan Lasker,American,Male,1948
Ibram Lassaw,American,Male,1913
Charles Lassiter,American,Male,1926
Maria Lassnig,Austrian,Female,1919
Ger Lataster,Dutch,Male,1920
John Latham,British,Male,1921
Sidney Laufman,American,Male,1891
Clarence John Laughlin,American,Male,1905
Jean Launois,French,Male,1898
Marie Laurencin,French,Female,1883
Henri Laurens,French,Male,1885
Robert Laurent,American,Male,1890
Uwe Lausen,German,Male,1941
Ray Lauzzana,American,Male,1941
Warja Lavater,Swiss,Female,1913
Alma R. Lavenson,American,Female,1897
Jacob Lawrence,American,Male,1917
Michael Lax,American,Male,1929
"Elizabeth ""Grandma"" Layton",American,Female,1909
Giulio Lazzotti,Italian,Male,1942
Le Corbusier (Charles-Édouard Jeanneret),French,Male,1887
Henri Le Fauconnier,French,Male,1881
Jean Le Gac,French,Male,1936
Gustave Le Gray,French,Male,1820
Jean Le Moal,French,Male,1909
Julio Le Parc,Argentine,Male,1928
Henri Le Secq,French,Male,1818
Barry Le Va,American,Male,1941
David Leach,American,Male,1946
Alun Leach-Jones,British,Male,1937
June Leaf,American,Female,1929
Fernando Leal,Mexican,Male,1896
Lawrence Lebduska,American,Male,1894
J. J. Christian Lebeau,Dutch,Male,1878
Jean-Jacques Lebel,French,Male,1936
Jan Lebenstein,Polish,Male,1930
Dick Lebowitz,American,Male,1937
Christopher Le Brun,British,Male,1951
Rico Lebrun,American,Male,1900
Juana Lecaros,Chilean,Female,1920
Arthur Lee,American,Male,1881
Baldwin S. Lee,American,Male,1951
Joong Seop Lee,Korean,Male,1916
Catherine Lee,American,Female,1950
Colin Lee,American,Male,1953
Russell Lee,American,Male,1903
Ung-no Lee,Korean,Male,1904
Theyre Lee-Elliott,British,Male,1903
Yoram Lehman,Israeli,Male,1939
Wilhelm Lehmbruck,German,Male,1881
Leonard Lehrer,American,Male,1935
Arthur Leipzig,American,Male,1918
Saul Leiter,American,Male,1923
Michael Lekakis,American,Male,1907
Paul Lemagny,French,Male,1903
Annette Lemieux,American,Female,1957
Georges Lemmen,Belgian,Male,1865
Stanley Lench,British,Male,1934
Jan Lenica,Polish,Male,1928
Thomas Lenk,German,Male,1933
Candice Lenney,American,Female,1949
John Lennon,British,Male,1940
Leonid (Leonid Berman),American,Male,1896
Louis L. Lepoix,French,Male,1918
Robert Lepper,American,Male,1906
Stanislao Lepri,Italian,Male,1905
Gustav Lepschy,German,Male,1942
Norman Lerner,American,Male,1927
Helmar Lerski,Swiss,Male,1871
Danuta Lesczynska-Kluza,Polish,Female,1926
Alfred Leslie,American,Male,1927
John Lesnick,American,Male,1953
Gilbert Lesser,American,Male,1935
Julian Lethbridge,British,Male,1947
Gerd Leufert,Venezuelan,Male,1914
Herbert Leupin,Swiss,Male,1916
Léo Leuppi,Swiss,Male,1893
John Levee,American,Male,1924
Hugo Leven,German,Male,1874
Hans Levi,American,Male,1935
Josef Levi,American,Male,1938
Julian E. Levi,American,Male,1900
Robert Levin,American,Male,1948
Wayne Levin,American,Male,1945
Jack Levine,American,Male,1915
Les Levine,American,Male,1935
Sherrie Levine,American,Female,1947
Tom Levine,American,Male,1945
Mon Levinson,American,Male,1926
Leon Levinstein,American,Male,1910
S. L. Levitsky,French,Male,1819
Helen Levitt,American,Female,1913
Alphonse Levy,French,Male,1843
Julien Levy,American,Male,1906
Martin Lewis,American,Male,1881
Norman Lewis,American,Male,1909
Wyndham Lewis,British,Male,1882
Landès Lewitin,American,Male,1892
Sol LeWitt,American,Male,1928
Sonia Lewitzka,Polish,Female,1882
Jay Leyda,American,Male,1910
Ernst Van Leyden,American,Male,1892
Léon Lhermitte,French,Male,1844
André Lhote,French,Male,1885
Georges Liautaud,Haitian,Male,1899
Alexander Liberman,American,Male,1912
Sol Libsohn,American,Male,1914
Ernst Lichtblau,American,Male,1883
Roy Lichtenstein,American,Male,1923
Al Lieberman,American,Male,1939
Max Liebermann,German,Male,1847
Alphonse Liébert,French,Male,1827
Klaus Liebig,German,Male,1936
Jerome Liebling,American,Male,1924
David Ligare,American,Male,1945
Edwin Hale Lincoln,American,Male,1848
Stig Lindberg,Swedish,Male,1916
Linda Lindeberg,American,Female,1915
Francesca Lindh,Finnish,Female,1931
Richard Lindh,Finnish,Male,1929
Richard Lindner,American,Male,1901
Linda Lindroth,American,Female,1946
O. Winston Link,American,Male,1914
Leo Lionni,American,Male,1910
Jacques Lipchitz,American,Male,1891
Peter Lipman-Wulf,American,Male,1905
Richard Lippold,American,Male,1915
Seymour Lipton,American,Male,1903
Vera Lisková,Czech,Female,1924
El Lissitzky,Russian,Male,1890
Ross Littell,American,Male,1924
Harvey Littleton,American,Male,1922
Ludwig Littmann,German,Male,1946
Israel Litwak,American,Male,1867
Stephen Livick,Canadian,Male,1945
Frank Lobdell,American,Male,1921
Jean Locey,American,Female,1944
Charles Locke,American,Male,1899
George Lockwood,American,Male,1929
Uwe Loesch,German,Male,1943
Maurice Loewy,French,Male,1833
Berthold Löffler,Austrian,Male,1874
Richard Paul Lohse,Swiss,Male,1902
Alfred Lombard,French,Male,1884
Lois Long,American,Female,1918
Richard Long,British,Male,1945
Robert Longo,American,Male,1953
Vincent Longo,American,Male,1923
Adolph Loos,Austrian,Male,1870
Fernando López Anaya,Argentine,Male,1907
Domingo López,American,Male,1942
José Dolores López,American,Male,1868
Antonio López García,Spanish,Male,1936
Erle Loran,American,Male,1905
John Loring,American,Male,1939
Reagan Louie,American,Male,1951
Morris Louis,American,Male,1912
Charles Loupot,French,Male,1892
Jim Love,American,Male,1927
Vreni Löwensberg,Swiss,Female,1912
Lawrence Stephen Lowry,British,Male,1887
Lee Lozano,American,Female,1930
Louis Lozowick,American,Male,1892
Dietrich Lubs,German,Male,1938
Maximilian Luce,French,Male,1858
Lucebert,Dutch,Male,1924
Thomas Lüchinger,Swiss,Male,1953
Hans Luckhardt,German,Male,1890
Ryah Ludins,Nationality unknown,Female,1896
John Lueders-Booth,American,Male,1935
Konrad Lueg,German,Male,1939
Jan Lukas,Czech,Male,1915
Sven Lukin,American,Male,1934
Norman Lundin,American,Male,1938
Evert Lundquist,Swedish,Male,1904
Alexandre Lunois,French,Male,1863
Francois Lunven,French,Male,1942
Markus Lüpertz,German,Male,1941
Jean Lurçat,French,Male,1892
Boris Lurie,American,Male,1924
Urs Lüthi,Swiss,Male,1947
Nicholas Luttinger,American,Male,1942
Mariette Lydis,Austrian,Female,1890
George Platt Lynes,American,Male,1907
George Lynn,Canadian,Male,1941
Danny Lyon,American,Male,1942
Joan Lyons,American,Female,1937
Nathan Lyons,American,Male,1930
Richard Lytle,American,Male,1935
Ernst Mumenthaler,Swiss,Male,1901
Dora Maar (Henriette Theodora Markovitch),French,Female,1907
Mabuchi Toru,Japanese,Male,1920
Robert MacBryde,British,Male,1913
Mino Maccari,Italian,Male,1898
Rómulo Macció,Argentine,Male,1931
Stanton Macdonald-Wright,American,Male,1890
Eduardo A. MacEntyre,Argentine,Male,1929
Sheldon Machlin,American,Male,1918
Sasa Janez Machtig,Yugoslav,Male,1941
Loren MacIver,American,Female,1909
Heinz Mack,German,Male,1931
August Macke,German,Male,1887
Charles Rennie Mackintosh,British,Male,1868
Owen F. Maclaren,British,Male,1906
Angus Maclise,American,Male,1938
Wendy MacNeil,American,Female,1943
Robert Macpherson,British,Male,1811
Alen MacWeeney,American,Male,1939
Bea Maddock,Australian,Female,1934
Josaku Maede,Japanese,Male,1926
Toshiro Maeda,Japanese,Male,1904
Sempan Maekawa,Japanese,Male,1888
Paul Maenz,German,Male,1939
Karel Maes,Belgian,Male,1900
Aloisio Lahyre de  Magalhães,Brazilian,Male,1927
Victor Magariños,Argentine,Male,1924
Vico Magistretti,Italian,Male,1920
Alberto Magnelli,Italian,Male,1888
Greta Magnusson Grossman,American,Female,1906
René Magritte,Belgian,Male,1898
William Maguire,American,Male,1943
Robert Mahon,American,Male,1949
Schilli Maier,American,Male,1922
Aristide Maillol,French,Male,1861
Gaspard Maillol,French,Male,1880
Lucien Mainssieux,French,Male,1885
Samuel Maitin,American,Male,1928
Louis Majorelle,French,Male,1859
William Majors,American,Male,1930
Haku Maki,Japanese,Male,1924
Mitsuo Maki,Japanese,Male,1948
Zbigniew Makowski,Polish,Male,1930
Gerard Malanga,American,Male,1943
Robert Malaval,French,Male,1937
Kazimir Malevich,Russian,Male,1878
Robert Mallary,American,Male,1917
Antônio Maluf,Brazilian,Male,1926
Jeanne Mammen,German,Female,1890
Man Ray (Emmanuel Radnitzky),American,Male,1890
Mateo Manaure,Venezuelan,Male,1926
Michael Mandel,American,Male,1950
Alfred Manessier,French,Male,1911
Édouard Manet,French,Male,1832
Burkhard Mangold,Swiss,Male,1873
Robert Mangold,American,Male,1937
Sylvia Plimack Mangold,American,Female,1938
Henri Manguin,French,Male,1874
Manuel Manilla,Mexican,Male,1873
Per Maning,Norwegian,Male,1943
Sally Mann,American,Female,1951
Jack Manning,American,Male,1920
Manolo (Manuel Martínez Hugué),Spanish,Male,1872
Constantine Manos,Greek,Male,1934
Russell Manoy,British,Male,1945
John Mansbridge,British,Male,1901
Matthias Mansen,German,Male,1958
Leo Manso,American,Male,1914
Paul (Pavel Mansurov) Mansouroff,Russian,Male,1896
Piero Manzoni,Italian,Male,1933
Giacomo Manzù,Italian,Male,1908
Pio Manzù,Italian,Male,1939
Kumberai Mapanda,Zimbabwean,Male,1940
Robert Mapplethorpe,American,Male,1946
Ralph Maradiaga,American,Male,1934
Franz Marc,German,Male,1880
Conrad Marca-Relli,American,Male,1913
Marcel-Gaillard (Marcel Gaillard),French,Male,1886
André Marchand,French,Male,1907
Jean Marchand,French,Male,1883
Léo Marchutz,French,Male,1903
Gerhard Marcks,German,Male,1889
Louis Marcoussis,Polish,Male,1883
Brice Marden,American,Male,1938
André Mare,French,Male,1885
Maréchal,French,Male,1928
Boris Margo,American,Male,1902
Richard M. Margolis,American,Male,1943
Joseph Margulies,American,Male,1896
Enzo Mari,Italian,Male,1932
Maria Martins,Brazilian,Female,1894
Mariano (Mariano Rodríguez),Cuban,Male,1912
John Marin,American,Male,1870
Filippo Tommaso Marinetti,Italian,Male,1876
Marino Marini,Italian,Male,1901
Tom Marioni,American,Male,1937
Marisol (Marisol Escobar),Venezuelan,Female,1930
Ronald Markman,American,Male,1931
Gino Marotta,Italian,Male,1935
Albert Marquet,French,Male,1875
Reginald Marsh,American,Male,1898
Takis Marthas,Greek,Male,1905
Agnes Martin,American,Female,1912
Charles Martin,American,Male,1952
Fletcher Martin,American,Male,1904
Fred Martin,American,Male,1927
Ira Martin,American,Male,1886
Kenneth Martin,British,Male,1905
Mary Martin,British,Female,1907
Paul Martin,British,Male,1864
Philip John Martin,British,Male,1927
Ezio Martinelli,American,Male,1913
Eugene Martinez,American,Male,1925
Luis Martínez Pedro,Cuban,Male,1910
Maria Martinez,American,Female,1887
Martinez Pintao (Manuel Martinez Pintao),Mexican,Male,1875
Ricardo Martinez,Argentine,Male,1923
Raúl Martínez,Cuban,Male,1927
Aldemir Martins,Brazilian,Male,1922
Mort N. Marton,American,Male,1918
Michael Martone,American,Male,1941
Antonio Martorell,American,Male,1939
Charles Marville,French,Male,1816
Maryan S. Maryan,American,Male,1927
Frans Masereel,Belgian,Male,1889
Dennis Masi,American,Male,1942
Raymond Mason,British,Male,1922
John Massey,American,Male,1931
André Masson,French,Male,1896
Luigi Massoni,Italian,Male,1929
Umberto Mastroianni,Italian,Male,1910
Gregory Masurovsky,American,Male,1929
Ewald Mataré,German,Male,1887
Margrethe Mather,American,Female,1885
Georges Mathieu,French,Male,1921
Bruno Mathsson,Swedish,Male,1907
Marcel Mathys,Swiss,Male,1933
Henri Matisse,French,Male,1869
Vera Matiukh,Russian,Female,1912
Mikhail Matiushin,Russian,Male,1861
Akira Matsumoto,Japanese,Male,1936
Toshio Matsumoto,Japanese,Male,1932
Matsumura Sadaiku,Japanese,Male,1936
Shin Matsunaga,Japanese,Male,1940
Roberto Matta,Chilean,Male,1911
Herbert Matter,American,Male,1907
Leni Matthaei,German,Female,1873
Holger Matthies,German,Male,1940
Jan Matulka,American,Male,1890
Maxine Emile Louis Maufra,French,Male,1861
Jacques Mauny,French,Male,1893
Alfred H. Maurer,American,Male,1868
Ingo Maurer,German,Male,1932
Neil Maurer,American,Male,1941
Charles Maurin,French,Male,1856
Almir Mavignier,Brazilian,Male,1925
Peter Max,American,Male,1937
Paul Mayen,American,Male,1918
Elaine Mayes,American,Female,1938
Roger Mayne,British,Male,1929
Michael Mazur,American,Male,1935
Azaria Mbatha,South African,Male,1941
Dr. John McArthur,British,Male,1901
Jay McCafferty,American,Male,1948
Henry McCarter,American,Male,1864
Allan McCollum,American,Male,1944
Leonard McCombe,American,Male,1923
Ann McCoy,American,Female,1946
John McCracken,American,Male,1934
Jean McEwen,Canadian,Male,1923
Rory McEwen,British,Male,1932
Elizabeth McFadden,American,Female,1912
Lawrence McFarland,American,Male,1942
James McGarrell,American,Male,1930
Kenneth McGowan,American,Male,1940
Byron McKeeby,American,Male,1936
Rhondal McKinney,American,Male,1948
John McLaughlin,American,Male,1898
Bruce McLean,British,Male,1944
Richard McLean,American,Male,1934
Michael McLoughlin,American,Male,1936
George McNeil,American,Male,1908
William C. McNulty,American,Male,1889
Larry Mcpherson,American,Male,1943
Frederick Edward McWilliam,British,Male,1909
John McWilliams,American,Male,1941
Roderick Mead,American,Male,1900
Clement Meadmore,Australian,Male,1929
Howard Mehring,American,Male,1931
Hans Meid,German,Male,1883
Ludwig Meidner,German,Male,1884
Richard Meier,American,Male,1934
Leo Meissner,Nationality unknown,Male,1895
Aleksandr Danilovich Melamid,American,Male,1945
F. M. Melchers,Nationality unknown,Male,1848
Mohamed Melehi,Moroccan,Male,1936
José Meléndez Contreras,American,Male,1921
Waldimiro Melgarejo Muñoz,Argentine,Male,1908
Georges Méliès,French,Male,1861
John Melin,Swedish,Male,1921
Xavier Mellery,Belgian,Male,1845
Fausto Melotti,Italian,Male,1901
Pierre Mendell,German,Male,1929
Leopoldo Méndez,Mexican,Male,1902
Ana Mendieta,American,Female,1948
Alessandro Mendini,Italian,Male,1931
Antonio Mendoza,American,Male,1941
Edward Meneeley,American,Male,1927
Wendy Meng,American,Female,1944
Roberto Menghi,Italian,Male,1920
Carl (Carlo) Mense,German,Male,1886
Jan Menses,Canadian,Male,1933
Carlos Mérida,Guatemalan,Male,1891
Richard Merkin,American,Male,1938
Knud Merrild,American,Male,1894
Hugh Merrill,American,Male,1949
Roger Mertin,American,Male,1942
Gerhard Merz,German,Male,1947
Mario Merz,Italian,Male,1925
Felix Meseck,German,Male,1883
E.L.T. (Edouard Léon Théodore) Mesens,Belgian,Male,1903
Jean Messagier,French,Male,1920
Gary Metz,American,Male,1941
Jean Metzinger,French,Male,1883
Ray K. Metzker,American,Male,1931
Sheila Metzner,American,Female,1939
George Meunier,French,Male,1869
Henri Meunier,Belgian,Male,1873
Floris Meydam,Dutch,Male,1919
Melissa Meyer,American,Female,1947
Hans Meyer-Petersen,Danish,Male,1937
Joel Meyerowitz,American,Male,1938
Robert Meyers,American,Male,1931
Guillermo Meza,Mexican,Male,1917
Duane Michals,American,Male,1932
Henri Michaux,French,Male,1899
Robert Michel,German,Male,1897
Midorikawa Yoichi,Japanese,Male,1915
Mielatz,American,Male,1864
James Miho,American,Male,1933
Tomoko Miho,American,Female,1931
Jun Miki,Japanese,Male,1919
Tomio Miki,Japanese,Male,1937
Josef Mikl,Austrian,Male,1929
Eleanore Mikus,American,Female,1927
Stephen R. Milanowski,American,Male,1953
Gjon Mili,American,Male,1904
Raùl Miliàn,Cuban,Male,1914
Pedro Millar,Chilean,Male,1930
Manolo Millares,Spanish,Male,1926
Earl Miller,American,Male,1930
John Miller,American,Male,1948
Kenneth Hayes Miller,American,Male,1876
Melissa Miller,American,Female,1951
Nachume Miller,Israeli,Male,1949
Peter Caldwell Millett,American,Male,1949
John Mills,American,Male,1842
Lev Mills,American,Male,1940
David Brown Milne,Canadian,Male,1882
Keith Milow,British,Male,1945
Zwi Milshtein,Israeli,Male,1934
Peter Milton,American,Male,1930
Marcello Minale,Italian,Male,1938
Keiko Minami,Japanese,Female,1911
André Minaux,French,Male,1923
Stephen Mindel,American,Male,1938
Roger Minick,American,Male,1944
George Minne,Belgian,Male,1867
Marilyn Minter,American,Female,1948
Marta Minujín,Argentine,Male,1943
Luciano Miori,Italian,Male,1922
Jean Miotte,French,Male,1926
Victor Mira,Spanish,Male,1949
Antoni Miralda,Spanish,Male,1942
Joan Miró,Spanish,Male,1893
Rodolfo (Rodolfo Mishaan Pinto) Mishaan,Guatemalan,Male,1924
Léonard Misonne,Belgian,Male,1870
Richard Misrach,American,Male,1949
Mary Miss,American,Female,1944
Julio Mitchel,Cuban,Male,1942
Joan Mitchell,American,Female,1925
Dmitrii Mitrokhin,Russian,Male,1883
Akira Miyoshi,Japanese,Male,1919
Jan M_odo_eniec,Polish,Male,1929
Evsa Model,American,Male,1900
Lisette Model,American,Female,1901
Paula Modersohn-Becker,German,Female,1876
Amedeo Modigliani,Italian,Male,1884
Tina Modotti,Italian,Female,1896
Curtis Moffat,British,Male,1887
Paul Mogensen,American,Male,1941
Bill Moggridge,British,Male,1943
László Moholy-Nagy,American,Male,1895
Benjamín Molina,Mexican,Male,1914
Guido Molinari,Canadian,Male,1933
Eduardo Moll,Peruvian,Male,1929
Johannes Molzahn,German,Male,1892
Sahlan Momo,Italian,Male,1944
Piet Mondrian,Dutch,Male,1872
Claude Monet,French,Male,1840
Jay Monroe,American,Male,1926
Gustavo Monroy,Mexican,Male,1959
Rubén Ortiz-Torres,Mexican,Male,1964
Roberto Montenegro,Mexican,Male,1885
Jan Montyn,Dutch,Male,1924
Robert Moon,American,Male,1941
John D. Mooney,American,Male,1941
Claire (Claire Mahl) Moore,American,Female,1917
David Moore,American,Male,1918
Frank Moore,American,Male,1953
Henry Moore,British,Male,1898
Margaret Ann Moorman,American,Female,1948
Max Oppenheimer (MOPP),American,Male,1885
"Francisco (""Pancho"") Mora",Mexican,Male,1922
Otto Morach,Swiss,Male,1887
Armando Morales Sequeira,Nicaraguan,Male,1927
Giorgio Morandi,Italian,Male,1890
Ibi Trier Mørch,Danish,Male,1910
Luc-Albert Moreau,French,Male,1882
François Morellet,French,Male,1926
Mattia Moreni,Italian,Female,1920
Rafael Moreno,Cuban,Male,1887
Gabriel Morera,Venezuelan,Male,1933
Carlo Moretti,Italian,Male,1934
Barbara Morgan,American,Female,1900
Maud Morgan,American,Female,1903
Norma G. Morgan,American,Female,1928
Yoshitoshi Mori,Japanese,Male,1897
Shigeyoshi Morioka,Japanese,Male,1941
Berthe Morisot,French,Female,1841
Morita Yasuji,Japanese,Male,1912
Andreas Moritz,German,Male,1901
Masamitsu Moriwaki,Japanese,Male,1924
Daido Moriyama,Japanese,Male,1938
Malcolm Morley,American,Male,1931
Carl Morris,American,Male,1911
George L. K. Morris,American,Male,1905
Hilda Morris,American,Female,1911
Robert Morris,American,Male,1931
Wright Morris,American,Male,1910
Andrew Morrison,American,Male,1939
Jonathan Morse,American,Male,1948
Richard Mortensen,Danish,Male,1910
Ree Morton,American,Female,1936
Mike Mosco,American,Male,1921
Victor Moscoso,American,Male,1936
Jill Moser,American,Female,1956
Koloman Moser,Austrian,Male,1868
Ed Moses,American,Male,1926
Robert Moskowitz,American,Male,1935
Charles William Moss,American,Male,1923
Marlow Moss,British,Female,1890
Olivier Mosset,Swiss,Male,1944
Robert Motherwell,American,Male,1915
Sadamasa Motonaga,Japanese,Male,1922
Deborah de Moulpied,American,Female,1933
Edward Moulthrop,American,Male,1916
Olivier Mourgue,French,Male,1939
Stanley Mouse,American,Male,1940
Seong Moy,American,Male,1921
Marcello Muccini,Italian,Male,1926
Alphonse Mucha,Czech,Male,1860
Georg Muche,German,Male,1895
James Mudd,British,Male,1821
Grant Mudford,Australian,Male,1944
Otto Mueller,German,Male,1874
John Muench,American,Male,1914
Shuji Mukai,Japanese,Male,1939
Thomas Mukarobgwa,Zimbabwean,Male,1924
Mark W. Mulhern,American,Male,1951
Michael Mullen,American,Male,1937
Fridolin Müller,Swiss,Male,1926
Grégoire Müller,Swiss,Male,1947
Jan Müller,American,Male,1922
Robert Müller,Swiss,Male,1920
Josef Müller-Brockmann,Swiss,Male,1914
Hans Müller-Dachau,German,Male,1877
Peter Müller-Munk,American,Male,1904
Shizuko Muller-Yoshikawa,Swiss,Female,1934
Gerd Alfred Müller,German,Male,1932
Lee Mullican,American,Male,1919
Matt Mullican,American,Male,1951
Shiko Munakata,Japanese,Male,1903
Bruno Munari,Italian,Male,1907
Edvard Munch,Norwegian,Male,1863
Janis Muncis,Russian,Male,1886
Robert Munford,American,Male,1925
Martin Munkácsi,American,Male,1896
Richard Munsell,American,Male,1909
Maina-Miriam Munsky,German,Female,1943
Donald Munson,American,Male,1945
Gabriele Münter,German,Female,1877
Reiko Tanabe,Japanese,Female,1934
Nickolas Muray,American,Male,1892
Walter Tandy Murch,American,Male,1907
Zühtü Mürito_lu,Turkish,Male,1906
Catherine Murphy,American,Female,1946
Gerald Murphy,American,Male,1888
John J. A. Murphy,American,Male,1888
Michaela Allan Murphy,American,Male,1952
Elizabeth Murray,American,Female,1940
Edo Murtic,Yugoslav,Male,1921
Isaac Lane Muse,American,Male,1906
Antonio Zoran Music,Italian,Male,1909
Peter Mussfeldt,Ecuadorian,Male,1938
Toby Mussman,American,Male,1940
Eadweard J. Muybridge,American,Male,1830
Carl Mydans,American,Male,1907
Jerome Myers,Nationality unknown,Male,1867
Nadar (Gaspard-Félix Tournachon),French,Male,1820
Elie Nadelman,American,Male,1882
Kazumasa Nagai,Japanese,Male,1929
John Nagel,American,Male,1942
Reinhold Nägele,German,Male,1884
Masatoshi Naitoh,Japanese,Male,1938
Naoto Nakagawa,Japanese,Male,1944
Makoto Nakamura,Japanese,Male,1926
Iwata Nakayama,Japanese,Male,1895
Hitoshi Nakazato,Japanese,Male,1936
Reuben Nakian,American,Male,1897
Mauricio Nannucci,Italian,Male,1939
Harry Napper,British,Male,1860
James Nares,British,Male,1953
John Northcote Nash,British,Male,1893
Paul Nash,British,Male,1889
Thomas W. Nason,Nationality unknown,Male,1889
Ben Nason,American,Male,1915
Carlo Nason,Italian,Male,1935
Umberto Nason,Italian,Male,1889
Jacques Nathan-Garamond,French,Male,1910
Robert Natkin,American,Male,1930
Ulrike Nattermuller,German,Male,1955
Gertrud Natzler,American,Female,1908
Otto Natzler,American,Male,1908
Heinrich Nauen,German,Male,1880
Bruce Nauman,American,Male,1941
Ernst Wilhelm Nay,German,Male,1902
Genevieve Naylor,American,Female,1914
Joseph Ndandarika,Zimbabwean,Male,1944
Reginald Neal,American,Male,1909
Otto Nebel,German,Male,1892
Joseph Nechvatal,American,Male,1953
Nedo Mion Ferrario,Venezuelan,Male,1926
Alice Neel,American,Female,1900
Charles Nègre,French,Male,1820
Édgar Negret,Colombian,Male,1920
Ernst Neizvestny,Russian,Male,1925
George Nelson,American,Male,1908
Joan Nelson,American,Female,1958
Robert A. Nelson,American,Male,1925
Vladimir Nikolaevich Nemukhin,Russian,Male,1925
Virginia Nepodal,American,Female,1914
Lowell Nesbitt,American,Male,1933
Rolf Nesch,Norwegian,Male,1893
Greta Von Nessen,American,Female,1898
Walter Von Nessen,American,Male,1889
Steven E. Nestler,American,Male,1946
Bea Nettles,American,Female,1946
Robert S. Neuman,American,Male,1926
Joshua Neustein,American,Male,1940
Richard Neutra,American,Male,1892
Louise Nevelson,American,Female,1899
Christopher Richard Wynne Nevinson,British,Male,1889
Albert Newall,British,Male,1920
Beaumont Newhall,American,Male,1908
Arnold Newman,American,Male,1918
Barnett Newman,American,Male,1905
John Newman,American,Male,1952
Algernon Newton,British,Male,1880
Gordon Newton,American,Male,1948
Don Nice,American,Male,1932
Herbert B. Nichols,American,Male,1907
Ben Nicholson,British,Male,1894
William Newzam Prior Nicholson,British,Male,1872
Robert Lovis Nicoidski,Swiss,Male,1931
Nic Nicosia,American,Male,1951
Palle Nielson,Danish,Male,1920
Rodolfo Nieto,Mexican,Male,1936
Frans van Nieuwenborg,Dutch,Male,1941
Minoru Niizuma,Japanese,Male,1930
Key L. Nilson,Swedish,Male,1938
Gladys Nilsson,American,Female,1940
Bruno Ninaber Van Eyben,Dutch,Male,1950
Hermann Nitsch,Austrian,Male,1938
Erik Nitsche,Swiss,Male,1908
Oscar Nitzchke,American,Male,1900
Niviaksiak,Canadian,Male,1908
Constantino Nivola,American,Male,1911
Nicholas Nixon,American,Male,1947
Marcello Nizzoli,Italian,Male,1887
Anthony Nobile,American,Male,1938
Tetsuya Noda,Japanese,Male,1940
Francis Noel,Nationality unknown,Male,1937
Georges Noël,French,Male,1924
Anne Noggle,American,Female,1922
Isamu Noguchi,American,Male,1904
Sidney Nolan,Australian,Male,1917
Kenneth Noland,American,Male,1924
Emil Nolde,German,Male,1867
Richard Nonas,American,Male,1936
