WILKES UNIVERSITY,136353,NSF
LOYOLA UNIVERSITY OF CHICAGO,173956,NSF
DREXEL UNIVERSITY,299998,NSF
HOPE COLLEGE,399511,NSF
GAMEDESK  INC.,349723,NSF
OREGON STATE UNIVERSITY,73164.32,NSF
UNIVERSITY OF TEXAS AT AUSTIN,733500,NSF
UNIVERSITY OF WASHINGTON,129438.36,NSF
UNIVERSITY OF NEBRASKA,101331,NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,20000,NSF
TRIANGLE COALITION FOR SCIENCE AND TECHNOLOGY EDUCATION,1959574,NSF
DORDT COLLEGE  INCORPORATED,248652,NSF
IMPACTSTORY INC.,297500,NSF
OHIO STATE UNIVERSITY  THE,685063,NSF
UNIVERSITY OF DELAWARE,400000,NSF
TRUSTEES OF INDIANA UNIVERSITY,286847,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,700000,NSF
CARNEGIE MELLON UNIVERSITY,499680,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,676943,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,184626.3,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,244500,NSF
UNIVERSITY OF ILLINOIS,300000,NSF
NATIONAL ACADEMY OF SCIENCES,90766,NSF
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY,22386380,NSF
UNIVERSITY OF CHICAGO  THE,89810,NSF
AUGSBURG COLLEGE,141763,NSF
UNIVERSITY OF TEXAS AT AUSTIN,50000,NSF
PENNSYLVANIA STATE UNIVERSITY  THE,436634,NASA
UNIVERSITY CORPORATION  THE,99456,NASA
APPALACHIAN STATE UNIVERSITY,149785,NASA
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,496702,NASA
XAVIER UNIVERSITY OF LOUISIANA,500000,NASA
NEW YORK UNIVERSITY,75000,NASA
CATHOLIC UNIVERSITY OF AMERICA (THE),40170,NASA
SOUTHWEST RESEARCH INSTITUTE,45000,NASA
TETHERS UNLIMITED  INC.,255736,NASA
AMERICAN UNIVERSITY,500000,NASA
CARNEGIE MELLON UNIVERSITY,254180,NASA
TRUSTEES OF PRINCETON UNIVERSITY  THE,22000,NASA
NORTH CAROLINA STATE UNIVERSITY,352831.94,NSF
UNIVERSITY OF ILLINOIS,209370.7,NSF
NATIONAL ACADEMY OF SCIENCES,652088,NSF
FLORIDA STATE UNIVERSITY  THE,164625.97,NSF
GEORGIA TECH RESEARCH CORPORATION,15913,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,30794,NSF
SMITHSONIAN INSTITUTION,19570,NSF
UNIVERSITY OF MISSOURI SYSTEM,25000,NSF
RUTGERS  THE STATE UNIVERSITY OF NEW JERSEY,24910,NSF
TRUSTEES OF DARTMOUTH COLLEGE,82209.48,NSF
OCEAN DISCOVERY INSTITUTE,249985,NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,799920,NSF
SCIENCE MUSEUM OF MINNESOTA  THE,899739,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,197514.31,NSF
KCP TECHNOLOGIES,1849802,NSF
CARNEGIE MELLON UNIVERSITY,199975,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,482651,NSF
MAINE MATHEMATICS AND SCIENCE ALLIANCE,886096,NSF
EXPLORATORIUM  THE,977830,NSF
UNIVERSITY OF TEXAS AT AUSTIN,49853,NSF
NORTHWESTERN UNIVERSITY,140000,NSF
UNIVERSITY OF TEXAS AT EL PASO,455462,NSF
UNIVERSITY OF MASSACHUSETTS,249999,NSF
AMERICAN SOCIETY FOR ENGINEERING EDUCATION,271465,NSF
PURDUE UNIVERSITY,1497905,NSF
COLORADO STATE UNIVERSITY,58233,NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY,593575,NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,50000,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,250000,NSF
ABT ASSOCIATES INC.,199922,NSF
UNIVERSITY OF ARIZONA,218690,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,350000,NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION,726733,NSF
MORGAN STATE UNIVERSITY (INC),45973,NSF
CARNEGIE INSTITUTE,150750.52,NSF
SYRACUSE UNIVERSITY,24974,NSF
JOHNS HOPKINS UNIVERSITY  THE,796205,NSF
UNIVERSITY OF TEXAS AT SAN ANTONIO,43950,NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,250538,NSF
MUSEUM OF SCIENCE  INC.,1343449,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,681390,NSF
UNIVERSITY OF SOUTH FLORIDA,50000,NSF
UNIVERSITY OF CALIFORNIA  SANTA CRUZ,83234,NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY,790066,NSF
PURDUE UNIVERSITY,3409029,NSF
UNIVERSITY OF ARIZONA,1499415,NSF
NORTHERN ILLINOIS UNIVERSITY INC,38289,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,69375,NASA
CARNEGIE MELLON UNIVERSITY,49971,NASA
REGENTS OF THE UNIVERSITY OF COLORADO  THE,99980,NASA
FAIRMONT STATE UNIVERSITY,1,NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,50000,NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA  THE,749879,NSF
CHICAGO HORTICULTURAL SOCIETY,864928,NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,425440,NSF
YOUNGSTOWN STATE UNIVERSITY,129750,NSF
TRUSTEES OF INDIANA UNIVERSITY,419500,NSF
AMHERST COLLEGE  TRUSTEES OF,91025,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,514999,NSF
MATHEMATICAL ASSOCIATION OF AMERICA  INC,833104,NSF
CLEVELAND STATE UNIVERSITY,252699,NSF
UNIVERSITY OF MASSACHUSETTS,300916,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,550000,NSF
LONGWOOD UNIVERSITY,287186,NSF
UNIVERSITY OF CALIFORNIA  IRVINE,918198,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,400000,NSF
CONSERVATION INTERNATIONAL FOUNDATION,177094,NSF
LEHIGH UNIVERSITY,150000,NSF
VECARIUS  INC.,499900,NSF
TRUSTEES OF BOSTON UNIVERSITY,236917,NSF
DUKE UNIVERSITY,83122,NSF
DUKE UNIVERSITY,259990,NSF
WILLIAM MARSH RICE UNIVERSITY,263060,NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,99462,NSF
PURDUE UNIVERSITY,35343.69,NSF
RENSSELAER POLYTECHNIC INSTITUTE,2468340,NSF
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,431523,NSF
NORTHEASTERN UNIVERSITY,374630,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,310000,NSF
CORNELL UNIVERSITY  INC,352047,NSF
WASHINGTON UNIVERSITY  THE,398305,NSF
MATERIALS RESEARCH SOCIETY,3000,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,145285,NSF
UNIVERSITY OF NEBRASKA,448603,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,600000,NSF
TOWSON UNIVERSITY,133525,NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,150000,NSF
UNIVERSITY OF MARYLAND,75121.8,NSF
NORTHWESTERN UNIVERSITY,13000,NSF
BAYLOR UNIVERSITY,52670,NSF
ILLINOIS INSTITUTE OF TECHNOLOGY,0,NSF
CENTRAL STATE UNIVERSITY,99996,NSF
TEXAS STATE UNIVERSITY-SAN MARCOS,375759,NSF
SOUTH DAKOTA DISCOVERY CENTER AND AQUARIUM  THE,480261,NASA
